_id,Kecamatan,Difteri,Pertusis,Tetanus Neonatorum,Hepatitis B,Suspek Campak
1,Asemrowo,0,0,0,0,0
2,Benowo,0,0,0,0,0
3,Bubutan,0,0,0,0,2
4,Bulak,0,0,0,0,0
5,Dukuh Pakis,0,0,0,0,0
6,Gayungan,0,0,0,0,0
7,Genteng,0,0,0,0,2
8,Gubeng,1,0,0,0,4
9,Gunung Anyar,0,0,0,0,1
10,Jambangan,0,0,0,0,0
11,Karang Pilang,0,0,0,0,0
12,Kenjeran,0,0,1,0,0
13,Krembangan,0,0,0,0,1
14,Lakarsantri,0,0,0,0,3
15,Mulyorejo,0,0,0,0,0
16,Pabean Cantikan,0,0,0,0,1
17,Pakal,0,0,0,0,1
18,Rungkut,0,0,0,0,5
19,Sambikerep,0,0,0,0,0
20,Sawahan,2,0,0,0,3
21,Semampir,0,0,0,0,2
22,Simokerto,0,0,0,0,1
23,Sukolilo,0,0,0,0,2
24,Sukomanunggal,0,0,0,0,7
25,Tambaksari,0,0,0,0,8
26,Tandes,1,0,0,0,0
27,Tegalsari,0,0,0,0,2
28,Tenggilis,0,0,0,0,0
29,Wiyung,0,0,0,0,0
30,Wonocolo,0,0,0,0,0
31,Wonokromo,0,0,0,0,0
